Week,Flat_Type,trend
2019-01-06,One Bedroom Flat,53
2019-01-13,One Bedroom Flat,61
2019-01-20,One Bedroom Flat,55
2019-01-27,One Bedroom Flat,57
2019-02-03,One Bedroom Flat,55
2019-02-10,One Bedroom Flat,50
2019-02-17,One Bedroom Flat,58
2019-02-24,One Bedroom Flat,56
2019-03-03,One Bedroom Flat,50
2019-03-10,One Bedroom Flat,48
2019-03-17,One Bedroom Flat,53
2019-03-24,One Bedroom Flat,59
2019-03-31,One Bedroom Flat,46
2019-04-07,One Bedroom Flat,48
2019-04-14,One Bedroom Flat,57
2019-04-21,One Bedroom Flat,48
2019-04-28,One Bedroom Flat,43
2019-05-05,One Bedroom Flat,40
2019-05-12,One Bedroom Flat,53
2019-05-19,One Bedroom Flat,45
2019-05-26,One Bedroom Flat,43
2019-06-02,One Bedroom Flat,51
2019-06-09,One Bedroom Flat,49
2019-06-16,One Bedroom Flat,42
2019-06-23,One Bedroom Flat,55
2019-06-30,One Bedroom Flat,42
2019-07-07,One Bedroom Flat,52
2019-07-14,One Bedroom Flat,49
2019-07-21,One Bedroom Flat,51
2019-07-28,One Bedroom Flat,56
2019-08-04,One Bedroom Flat,50
2019-08-11,One Bedroom Flat,47
2019-08-18,One Bedroom Flat,63
2019-08-25,One Bedroom Flat,52
2019-09-01,One Bedroom Flat,46
2019-09-08,One Bedroom Flat,53
2019-09-15,One Bedroom Flat,43
2019-09-22,One Bedroom Flat,43
2019-09-29,One Bedroom Flat,42
2019-10-06,One Bedroom Flat,42
2019-10-13,One Bedroom Flat,52
2019-10-20,One Bedroom Flat,53
2019-10-27,One Bedroom Flat,45
2019-11-03,One Bedroom Flat,52
2019-11-10,One Bedroom Flat,49
2019-11-17,One Bedroom Flat,53
2019-11-24,One Bedroom Flat,39
2019-12-01,One Bedroom Flat,45
2019-12-08,One Bedroom Flat,39
2019-12-15,One Bedroom Flat,33
2019-12-22,One Bedroom Flat,40
2019-12-29,One Bedroom Flat,48
2020-01-05,One Bedroom Flat,48
2020-01-12,One Bedroom Flat,52
2020-01-19,One Bedroom Flat,54
2020-01-26,One Bedroom Flat,45
2020-02-02,One Bedroom Flat,42
2020-02-09,One Bedroom Flat,42
2020-02-16,One Bedroom Flat,48
2020-02-23,One Bedroom Flat,51
2020-03-01,One Bedroom Flat,47
2020-03-08,One Bedroom Flat,49
2020-03-15,One Bedroom Flat,33
2020-03-22,One Bedroom Flat,30
2020-03-29,One Bedroom Flat,29
2020-04-05,One Bedroom Flat,32
2020-04-12,One Bedroom Flat,29
2020-04-19,One Bedroom Flat,36
2020-04-26,One Bedroom Flat,37
2020-05-03,One Bedroom Flat,49
2020-05-10,One Bedroom Flat,46
2020-05-17,One Bedroom Flat,47
2020-05-24,One Bedroom Flat,42
2020-05-31,One Bedroom Flat,50
2020-06-07,One Bedroom Flat,53
2020-06-14,One Bedroom Flat,51
2020-06-21,One Bedroom Flat,49
2020-06-28,One Bedroom Flat,54
2020-07-05,One Bedroom Flat,58
2020-07-12,One Bedroom Flat,49
2020-07-19,One Bedroom Flat,52
2020-07-26,One Bedroom Flat,44
2020-08-02,One Bedroom Flat,44
2020-08-09,One Bedroom Flat,48
2020-08-16,One Bedroom Flat,49
2020-08-23,One Bedroom Flat,55
2020-08-30,One Bedroom Flat,54
2020-09-06,One Bedroom Flat,47
2020-09-13,One Bedroom Flat,42
2020-09-20,One Bedroom Flat,46
2020-09-27,One Bedroom Flat,48
2020-10-04,One Bedroom Flat,49
2020-10-11,One Bedroom Flat,51
2020-10-18,One Bedroom Flat,42
2020-10-25,One Bedroom Flat,51
2020-11-01,One Bedroom Flat,40
2020-11-08,One Bedroom Flat,50
2020-11-15,One Bedroom Flat,44
2020-11-22,One Bedroom Flat,41
2020-11-29,One Bedroom Flat,38
2020-12-06,One Bedroom Flat,37
2020-12-13,One Bedroom Flat,43
2020-12-20,One Bedroom Flat,34
2020-12-27,One Bedroom Flat,40
2021-01-03,One Bedroom Flat,40
2021-01-10,One Bedroom Flat,48
2021-01-17,One Bedroom Flat,49
2021-01-24,One Bedroom Flat,43
2021-01-31,One Bedroom Flat,51
2021-02-07,One Bedroom Flat,55
2021-02-14,One Bedroom Flat,49
2021-02-21,One Bedroom Flat,47
2021-02-28,One Bedroom Flat,50
2021-03-07,One Bedroom Flat,53
2021-03-14,One Bedroom Flat,55
2021-03-21,One Bedroom Flat,55
2021-03-28,One Bedroom Flat,56
2021-04-04,One Bedroom Flat,56
2021-04-11,One Bedroom Flat,45
2021-04-18,One Bedroom Flat,48
